Unit position,Benign,Malignant
"(0, 0)",34497,0
"(6, 1)",735,948
"(1, 0)",2143,0
"(0, 1)",3134,0
"(2, 0)",1819,0
"(2, 1)",247,0
"(3, 0)",622,0
"(0, 2)",3301,0
"(7, 0)",111,564
"(2, 2)",106,0
"(1, 2)",305,0
"(1, 3)",133,0
"(0, 4)",153,0
"(1, 1)",178,0
"(3, 1)",92,0
"(4, 0)",111,0
"(0, 3)",1300,0
"(2, 3)",20,0
"(0, 5)",14,0
"(5, 2)",21,20
"(4, 1)",20,0
"(6, 0)",22,8
"(3, 2)",18,0
"(5, 1)",17,0
"(5, 0)",17,0
"(1, 4)",19,0
"(4, 2)",2,0
"(4, 3)",1,0
"(3, 3)",6,0
"(3, 4)",1,0
"(2, 4)",2,0
"(0, 6)",1,1
"(9, 5)",0,2570
"(9, 9)",0,36736
"(5, 9)",0,4323
"(8, 7)",0,508
"(6, 9)",0,5695
"(8, 4)",0,258
"(4, 7)",0,674
"(4, 9)",0,3797
"(3, 9)",0,2664
"(5, 5)",0,422
"(7, 5)",0,899
"(5, 7)",0,1197
"(2, 9)",0,1660
"(8, 9)",0,3142
"(7, 8)",0,292
"(7, 6)",0,1253
"(7, 9)",0,6569
"(5, 8)",0,618
"(9, 3)",0,722
"(6, 8)",0,460
"(9, 1)",0,417
"(5, 6)",0,1125
"(6, 7)",0,1241
"(4, 8)",0,536
"(6, 5)",0,773
"(7, 7)",0,980
"(6, 6)",0,1452
"(0, 9)",0,269
"(3, 7)",0,267
"(2, 7)",0,88
"(9, 0)",0,191
"(9, 6)",0,5674
"(2, 8)",0,140
"(3, 8)",0,327
"(1, 9)",0,734
"(6, 2)",0,85
"(4, 6)",0,465
"(3, 6)",0,107
"(9, 2)",0,563
"(6, 3)",0,33
"(8, 0)",0,44
"(9, 4)",0,1137
"(9, 7)",0,7788
"(8, 8)",0,112
"(9, 8)",0,2314
"(8, 5)",0,481
"(7, 4)",0,292
"(6, 4)",0,181
"(8, 6)",0,568
"(4, 4)",0,9
"(2, 6)",0,19
"(4, 5)",0,93
"(1, 8)",0,52
"(7, 3)",0,55
"(8, 3)",0,99
"(0, 7)",0,12
"(3, 5)",0,17
"(0, 8)",0,87
"(5, 4)",0,59
"(7, 2)",0,22
"(8, 2)",0,27
"(5, 3)",0,10
"(8, 1)",0,11
"(7, 1)",0,25
"(2, 5)",0,3
"(1, 6)",0,4
"(1, 7)",0,12
